TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV LIQ / PATRI,PSR,P/CAP GIRO,P AT CIR LIQ,LIQ CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
ESTR3,17.80,,-0.51,-0.03,0.05,39.51,9.61,-18.36,0.97,7.97,5.73,,0.09,-0.03,-0.12,0.25,-5.71,-9.77,-2.46,-1.71,2.71,0.53,4.90,,,-616.75,-35.19,-0.01,33357910.00
ESTR4,53.00,,-1.51,-0.09,0.15,39.51,9.61,-18.36,2.88,7.97,5.73,,0.28,-0.09,-0.35,0.25,-5.71,-9.77,-2.46,-1.71,2.71,0.53,4.90,,14450.00,-616.75,-35.19,-0.02,33357910.00
ETER3,14.51,4.38,3.33,1.59,0.89,43.72,30.78,23.98,2.59,2.07,-0.53,-0.32,0.80,1.69,-3.30,3.54,47.82,26.62,44.62,0.56,0.44,1.11,6.30,,25603437.19,9.12,4.36,0.05,896378103.25
EUCA3,15.44,2.77,3.34,0.76,0.41,35.40,22.44,17.47,2.60,2.69,0.69,0.20,0.58,3.27,-0.65,1.53,22.67,12.32,18.76,0.54,0.46,0.70,16.44,66.37,61320.70,20.38,4.62,0.02,1099302525.80
EUCA4,10.05,4.69,2.18,0.49,0.27,35.40,22.44,17.47,1.69,2.69,0.69,0.20,0.38,2.13,-0.42,1.53,22.67,12.32,18.76,0.54,0.46,0.70,16.44,66.37,861172.44,20.38,4.62,0.01,1099302525.80
EVEN3,5.86,14.18,5.37,0.48,0.21,27.77,11.65,10.16,4.69,2.32,-2.37,-0.24,0.55,0.61,-0.78,1.88,8.92,3.90,7.68,0.44,0.56,0.38,5.48,162.14,10573102.53,12.23,1.09,0.00,1242320000.00
EZTC3,16.72,5.29,8.82,0.87,0.75,46.12,32.34,44.90,12.25,9.45,-2.80,-0.20,3.96,2.19,-1.32,4.69,9.84,8.47,6.45,0.86,0.14,0.19,10.85,13.32,43321479.00,19.25,1.89,1.44,3795440000.00
FBMC3,0.00,,0.00,0.00,0.00,-60.76,-92.67,-101.97,0.00,-0.74,-0.67,,0.00,0.00,0.00,0.31,-24.19,-36.57,25.82,-1.51,2.51,0.36,-18.14,,,-87.48,-21.16,0.00,904253.84
FBMC4,1.96,,-0.09,-0.02,0.03,-60.76,-92.67,-101.97,-0.10,-0.74,-0.67,,0.09,-0.04,-0.05,0.31,-24.19,-36.57,25.82,-1.51,2.51,0.36,-18.14,,,-87.48,-21.16,0.00,904253.84
FESA3,49.99,1.65,6.87,1.86,1.30,43.25,33.52,26.90,5.51,4.81,-0.25,-0.08,1.85,4.76,-2.21,2.95,27.12,18.93,26.74,0.70,0.30,0.70,16.87,55.97,28385.00,26.84,7.28,0.01,4051827200.00
FESA4,43.82,2.07,6.02,1.63,1.14,43.25,33.52,26.90,4.83,4.81,-0.25,-0.08,1.62,4.17,-1.94,2.95,27.12,18.93,26.74,0.70,0.30,0.70,16.87,55.97,25297465.75,26.84,7.28,0.01,4051827200.00
FHER3,17.92,,1.45,1.86,0.34,23.29,19.63,15.55,1.15,1.70,0.56,0.91,0.22,1.13,-1.16,1.72,128.53,23.16,80.72,0.18,0.82,1.49,-3.75,72.89,32629103.38,9.64,12.39,0.00,965122529.28
FIGE3,0.00,,0.00,0.00,0.00,100.00,89.57,61.47,0.00,0.00,,,0.00,0.00,0.00,,2.75,2.75,,1.00,0.00,0.04,,-16.07,,100.52,2.77,0.00,0.00
FIGE4,0.00,,0.00,0.00,0.00,100.00,89.57,61.47,0.00,0.00,,,0.00,0.00,0.00,,2.75,2.75,,1.00,0.00,0.04,,-16.07,,100.52,2.77,0.00,0.00
FIQE3,5.60,2.99,25.17,2.11,1.25,49.10,28.31,17.59,15.64,12.50,-3.13,-0.42,4.43,3.83,-2.54,2.82,8.40,4.98,7.68,0.59,0.41,0.28,,,2671362.84,2.65,0.22,0.42,2027477810.40
FLEX3,0.00,,0.00,0.00,0.00,29.76,3.16,-8.43,0.00,7.23,7.23,,0.00,0.00,0.00,0.90,-283.15,-11.07,-4.04,-0.04,1.04,1.31,1.44,,,-4.87,-13.79,0.00,0.00
FLRY3,15.49,6.06,14.07,2.66,0.81,29.10,17.23,9.04,7.38,10.61,3.22,1.16,1.27,9.20,-1.14,1.44,18.87,5.76,10.88,0.31,0.69,0.64,13.06,8.87,52856448.41,5.83,1.10,0.39,4924952498.04
FNCN3,14.99,,-11.98,1.38,1.25,100.00,-70.28,-67.79,-11.56,-11.56,,,8.12,2.20,-3.48,9.12,-11.55,-10.47,,0.91,0.09,0.15,-19.89,,3020.00,10.83,-1.25,0.26,13697532.22
FRAS3,11.57,1.73,14.79,2.82,1.01,28.98,10.66,8.18,11.35,13.58,2.22,0.55,1.21,3.97,-2.12,1.95,19.10,6.85,12.48,0.36,0.64,0.84,26.01,26.86,5979903.63,4.10,0.78,1.22,3124089088.51
FRIO3,41.50,,-2.70,-1.40,0.09,17.15,7.98,-3.08,1.04,7.32,6.28,,0.08,-0.59,-0.28,0.83,-51.79,-3.20,9.77,-0.06,1.06,1.04,15.09,,10987.00,-29.64,-15.35,0.05,170430291.00
FRTA3,4.22,,30.09,-0.13,0.27,20.86,-3.61,1.83,-15.31,-124.00,-108.69,,0.55,-0.10,-0.31,0.05,-0.44,0.90,23.67,-2.04,3.04,0.49,-19.18,,7257.36,-31.77,0.14,-0.35,8666217.32
FTRT3B,0.00,,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,-0.95,-0.90,-2.42,0.95,0.05,0.00,,,,0.01,0.00,0.00,0.00
G2DI33,5.10,,1.14,0.45,0.39,,,,1.13,0.99,-0.13,-0.05,,98.92,-0.45,1.03,39.39,34.38,36.31,0.87,0.13,0.00,,,718861.56,11.35,4.47,,521924697.60
GBIO33,10.40,,-14.97,1.32,0.79,43.48,3.79,-10.14,40.09,47.57,7.48,0.25,1.52,7.57,-1.43,1.31,-8.83,-5.29,-0.10,0.60,0.40,0.52,12.83,,,7.86,-0.69,0.06,1108871982.40
GEPA3,26.60,11.05,-285.45,1.32,0.63,16.79,15.31,-0.65,12.19,17.76,5.38,0.58,1.87,-4.33,-0.71,0.42,-0.46,-0.22,5.76,0.48,0.52,0.34,0.20,,7172.19,20.20,-0.09,2.82,2552846417.10
GEPA4,27.25,10.79,-292.42,1.35,0.65,16.79,15.31,-0.65,12.48,17.76,5.38,0.58,1.91,-4.44,-0.72,0.42,-0.46,-0.22,5.76,0.48,0.52,0.34,0.20,,29581.15,20.20,-0.09,2.89,2552846417.10
GETT11,3.46,9.24,13.56,1.94,0.11,38.35,19.43,16.69,11.65,,2.50,0.42,2.26,4.48,-3.29,1.03,14.33,0.81,6.86,0.06,0.94,0.05,,,3600330.84,1.78,0.26,0.43,
GETT3,1.73,8.80,6.78,0.97,0.05,38.35,19.43,16.69,5.82,,2.50,0.42,1.13,2.24,-1.64,1.03,14.33,0.81,6.86,0.06,0.94,0.05,,,391139.78,1.78,0.26,0.21,
GETT4,1.74,9.62,6.82,0.98,0.06,38.35,19.43,16.69,5.86,,2.50,0.42,1.14,2.25,-1.65,1.03,14.33,0.81,6.86,0.06,0.94,0.05,,,343426.09,1.78,0.26,0.21,
GFSA3,1.76,,7.31,0.33,0.13,25.50,25.74,9.93,2.82,7.36,4.54,0.53,0.73,0.39,-0.33,2.13,4.47,1.72,3.71,0.38,0.62,0.17,-2.22,,12542204.25,5.38,0.24,-0.04,593904479.52
GGBR3,22.67,13.85,2.52,0.91,0.53,26.57,26.83,19.78,1.85,2.57,0.34,0.17,0.50,2.10,-0.95,2.33,36.19,20.99,28.69,0.58,0.42,1.06,15.78,,1544098.63,24.90,9.01,0.00,46720374267.51
GGBR4,29.42,10.67,3.27,1.18,0.69,26.57,26.83,19.78,2.41,2.57,0.34,0.17,0.65,2.72,-1.23,2.33,36.19,20.99,28.69,0.58,0.42,1.06,15.78,,415662152.38,24.90,9.01,0.01,46720374267.51
GGPS3,15.26,1.23,25.49,4.64,1.54,16.86,9.21,6.04,16.72,17.41,0.70,0.19,1.54,5.31,-3.22,2.27,18.20,6.05,10.32,0.33,0.67,1.00,,,34176515.47,3.29,0.60,1.91,10185909455.40
GMAT3,4.80,,13.97,1.64,1.07,23.32,5.77,4.78,11.58,12.79,1.22,0.17,0.67,2.29,-2.88,3.80,11.72,7.62,10.59,0.65,0.35,1.59,,,34433102.19,2.93,0.34,3.06,10604861179.20
GNDI3,66.95,2.83,-3584.81,5.84,2.38,18.55,3.28,-0.10,104.45,109.34,4.90,0.27,3.42,79.65,-3.01,1.17,-0.16,-0.07,2.22,0.41,0.59,0.69,29.03,,614805285.20,11.47,-0.02,35.34,41526443086.05
GOAU3,10.52,22.24,2.26,0.26,0.15,26.57,26.78,6.46,0.55,0.90,0.31,0.15,0.15,0.59,-0.28,2.38,11.61,6.79,28.18,0.58,0.42,1.05,15.78,,859713.66,40.12,4.66,0.00,12369348789.95
GOAU4,11.81,19.81,2.54,0.29,0.17,26.57,26.78,6.46,0.61,0.90,0.31,0.15,0.16,0.66,-0.31,2.38,11.61,6.79,28.18,0.58,0.42,1.05,15.78,,105331803.03,40.12,4.66,0.01,12369348789.95
GOLL4,16.40,,-7.22,-2.48,3.62,-15.61,-51.59,-97.15,-13.59,-4.60,-2.90,,7.01,-6.21,-4.45,0.24,-34.30,-50.14,43.99,-1.46,2.46,0.52,-5.51,,127737963.03,-6.62,-2.27,-0.35,6498613242.00
GPAR3,30.00,1.69,17.78,1.47,1.05,78.63,81.72,48.54,10.56,9.84,-0.73,-0.10,8.63,6.38,-1.34,4.08,8.28,5.91,8.98,0.71,0.29,0.12,-9.31,-38.08,5314.13,20.36,1.69,-0.85,2337852960.00
GPIV33,5.75,,0.48,0.08,0.06,100.00,82.88,69.03,0.40,-1.22,-1.62,-0.32,0.33,0.25,-0.09,6.60,16.45,13.47,19.04,0.82,0.18,0.20,6.19,50.37,163207.38,72.65,11.95,0.00,257515193.25
GRAO3,0.00,,0.00,0.00,0.00,2.06,1.19,0.42,0.00,8.02,8.02,7.55,0.00,0.00,0.00,1.16,33.00,0.95,3.91,0.03,0.97,2.27,,,,0.31,0.10,0.00,0.00
GRND3,9.66,8.96,14.50,2.13,1.91,43.97,16.80,25.66,22.15,19.30,-2.84,-0.27,3.72,3.26,-5.83,8.02,14.68,13.20,8.03,0.90,0.10,0.51,2.75,-1.08,20295421.16,4.54,0.67,0.30,8714865600.00
GSHP3,26.24,,-0.20,-0.07,0.03,73.20,38.55,-196.40,1.01,34.19,33.18,,0.39,0.94,-0.04,1.18,-35.37,-14.86,2.54,-0.42,1.42,0.08,-12.81,,11198.78,-375.91,-132.97,0.00,50610898.56
GUAR3,10.22,5.19,11.26,0.97,0.35,53.84,5.70,6.27,12.40,16.01,3.61,0.28,0.71,1.86,-0.90,1.45,8.60,3.13,1.92,0.36,0.64,0.50,4.05,7.37,15788675.69,10.55,0.91,-0.01,5101824000.00
HAGA3,5.00,,7.42,-0.96,0.99,28.86,21.82,19.27,6.55,2.60,-1.20,,1.43,2.90,-5.59,1.70,-12.96,13.29,-22.51,-1.03,2.03,0.69,9.48,19.66,575194.53,-5.20,0.67,0.17,34510001.05
HAGA4,1.85,,2.74,-0.36,0.36,28.86,21.82,19.27,2.42,2.60,-1.20,,0.53,1.07,-2.07,1.70,-12.96,13.29,-22.51,-1.03,2.03,0.69,9.48,19.66,97043.06,-5.20,0.67,0.06,34510001.05
HAPV3,10.40,0.36,149.22,7.03,3.53,31.02,5.50,5.04,136.73,143.22,6.50,0.33,7.52,555.42,-4.19,1.04,4.71,2.37,3.31,0.50,0.50,0.47,26.62,1.72,411691510.31,1.48,0.07,-4.09,74280734486.40
HBOR3,3.79,1.25,5.02,0.28,0.12,26.46,15.90,10.65,3.37,9.46,6.10,0.51,0.54,0.28,-0.31,3.15,5.56,2.34,4.16,0.42,0.58,0.22,1.00,,3468201.63,13.56,0.75,0.02,507295562.88
HBRE3,6.73,,4.45,0.30,0.18,84.02,352.14,177.66,2.24,4.10,1.85,0.24,7.90,2.11,-0.22,2.39,6.64,4.14,8.18,0.62,0.38,0.02,,,277588.97,22.79,1.51,-0.01,694461842.13
HBSA3,3.23,,-7.24,1.97,0.38,21.04,7.68,-30.40,28.68,78.65,49.97,3.43,2.20,3.94,-0.46,2.04,-27.18,-5.20,0.73,0.19,0.81,0.17,23.22,,9459675.09,1.64,-0.45,-0.03,2456035936.89
HBTS5,48.50,0.33,2.33,0.97,0.34,64.47,5.57,71.10,29.79,41.62,11.83,0.39,1.66,57.29,-0.38,1.06,41.72,14.35,0.18,0.34,0.66,0.20,37.96,,24518.48,49.81,20.78,0.00,442983819.50
HETA3,96.00,,110.52,-0.09,4.81,100.00,88.69,16.93,21.09,148.02,139.85,,18.71,-0.63,-5.17,0.01,-0.08,4.36,-1.01,-54.54,55.54,0.26,-0.71,-31.99,42600.00,-1087.41,0.87,-1.10,18972627.49
HETA4,7.49,,8.62,-0.01,0.38,100.00,88.69,16.93,1.65,148.02,139.85,,1.46,-0.05,-0.40,0.01,-0.08,4.36,-1.01,-54.54,55.54,0.26,-0.71,-31.99,14306.15,-1087.41,0.87,-0.09,18972627.49
HGTX3,37.50,0.28,101.99,3.57,2.48,40.58,-0.59,4.10,-707.65,-713.65,-5.99,0.03,4.18,7.50,-5.59,2.47,3.51,2.43,-7.32,0.69,0.31,0.59,-7.54,-26.63,109503605.67,10.49,0.37,-1.23,6095022637.50
HOOT3,0.00,,0.00,0.00,0.00,60.75,-63.60,-86.59,0.00,-0.47,0.20,,0.00,0.00,0.00,0.04,-7.89,-8.77,8.18,-1.11,2.11,0.10,-20.33,,,-27.56,-2.17,0.00,19578345.12
HOOT4,2.48,,-1.14,-0.09,0.10,60.75,-63.60,-86.59,-1.55,-0.47,0.20,,0.99,-0.07,-0.11,0.04,-7.89,-8.77,8.18,-1.11,2.11,0.10,-20.33,,18295.88,-27.56,-2.17,0.02,19578345.12
HYPE3,38.74,3.19,18.45,2.50,1.24,64.05,33.15,22.40,12.47,15.05,2.58,0.52,4.13,6.61,-1.84,2.34,13.53,6.71,11.29,0.50,0.50,0.30,12.96,2.46,154835824.97,15.52,2.10,6.81,24538722683.02
IDVL3,2.16,,-0.99,0.93,0.06,-18.91,-40.19,-154.60,-3.81,-3.84,,,1.53,0.48,-0.13,1.26,-94.38,-5.67,,0.06,0.94,0.04,-32.17,,,2.31,-2.18,0.00,224007574.38
IDVL4,2.67,,-1.22,1.16,0.07,-18.91,-40.19,-154.60,-4.71,-3.84,,,1.89,0.59,-0.16,1.26,-94.38,-5.67,,0.06,0.94,0.04,-32.17,,,2.31,-2.18,0.00,224007574.38
IFCM3,8.82,,-63.58,1.93,0.90,48.52,-6.70,-9.25,-87.70,-93.16,-5.46,0.12,5.88,-646.55,-1.32,1.00,-3.04,-1.41,-1.82,0.47,0.53,0.15,,,12069352.06,4.57,-0.14,-0.13,2484033683.04
IGBR3,36.10,,-0.57,-0.04,0.36,104.76,-999.94,-1494.05,-0.86,-10.53,-9.67,,8.59,-0.11,-0.43,0.05,-7.53,-62.14,10.13,-8.26,9.26,0.04,-9.35,,616915.59,-834.46,-62.81,0.04,45142905.60
IGSN3,0.00,,0.00,0.00,0.00,31.72,10.14,-4.62,0.00,40.84,40.84,1.52,0.00,0.00,0.00,0.63,-1.69,-0.45,-0.44,0.27,0.73,0.10,16.89,,,6.75,-0.11,0.00,0.00
IGTA3,33.00,0.86,17.04,1.71,0.82,56.90,45.20,39.92,15.05,18.83,3.78,0.43,6.80,3.41,-1.16,5.09,10.03,4.79,3.19,0.48,0.52,0.12,5.10,16.18,70275318.31,19.31,1.94,0.25,5828182074.00
IGTI11,20.32,,31.84,2.21,1.03,56.97,39.79,27.86,22.29,19.88,4.16,0.41,8.87,4.12,-1.52,4.64,6.95,3.24,2.20,0.47,0.53,0.12,5.11,61.79,48710009.84,9.19,0.64,0.15,5366695489.60
IGTI3,2.70,0.42,12.69,0.88,0.41,56.97,39.79,27.86,8.89,19.88,4.16,0.41,3.54,1.64,-0.60,4.64,6.95,3.24,2.20,0.47,0.53,0.12,5.11,61.79,1053371.00,3.06,0.21,0.06,5366695489.60
IGTI4,0.00,,0.00,0.00,0.00,56.97,39.79,27.86,0.00,19.88,4.16,0.41,0.00,0.00,0.00,4.64,6.95,3.24,2.20,0.47,0.53,0.12,5.11,61.79,,3.06,0.21,0.00,5366695489.60
INEP3,1.04,,0.14,-0.14,0.12,35.20,5810.08,5277.91,0.13,0.72,0.59,,7.43,-0.20,-0.13,0.12,-102.09,85.40,-339.00,-0.84,1.84,0.02,-18.75,,1636640.56,-7.24,7.39,0.00,182972598.00
INEP4,1.07,,0.14,-0.15,0.12,35.20,5810.08,5277.91,0.13,0.72,0.59,,7.64,-0.21,-0.13,0.12,-102.09,85.40,-339.00,-0.84,1.84,0.02,-18.75,,676199.69,-7.24,7.39,0.00,182972598.00
INNT3,0.00,,0.00,0.00,0.00,23.92,10.58,6.51,0.00,3.38,3.38,2.10,0.00,0.00,0.00,1.36,38.12,3.68,13.60,0.10,0.90,0.57,38.73,18.62,,0.89,0.34,0.00,0.00
INTB3,30.00,1.14,26.97,5.12,2.76,29.45,11.75,11.81,27.10,25.75,-1.35,-0.26,3.18,5.83,-16.37,2.33,18.99,10.25,14.98,0.54,0.46,0.87,,,48218997.75,5.86,1.11,2.42,9828333300.00
IRBR3,3.04,,-5.65,1.06,0.17,-19.74,-25.11,-8.55,-1.92,-1.92,,,0.48,-1.15,-0.44,0.81,-18.78,-3.01,,0.16,0.84,0.35,13.98,,51870029.16,2.87,-0.54,0.10,3854386609.28
ITEC3,40.10,,-35.12,22.04,9.22,-121.18,-18852.94,-7435.88,-13.85,-13.21,0.64,-1.02,2611.73,25.42,-16.70,5.23,-62.76,-26.24,-174.07,0.42,0.58,0.00,-75.29,,,1.82,-1.14,1.36,443994658.60
ITSA3,10.26,5.51,7.43,1.30,1.05,35.18,160.31,149.33,6.92,7.11,0.27,0.05,11.09,22.97,-1.19,1.68,17.55,14.19,16.64,0.81,0.19,0.10,11.75,8.24,2270971.69,7.87,1.38,0.10,89682185083.14
ITSA4,10.10,5.60,7.31,1.28,1.04,35.18,160.31,149.33,6.81,7.11,0.27,0.05,10.92,22.61,-1.17,1.68,17.55,14.19,16.64,0.81,0.19,0.10,11.75,8.24,237973322.88,7.87,1.38,0.10,89682185083.14
ITUB3,22.60,3.02,8.28,1.35,0.11,64.58,21.58,13.68,5.25,5.67,,,1.13,,-0.11,,16.27,1.29,,0.08,0.92,0.09,2.26,4.35,21817637.00,16.78,2.73,0.20,239648460673.77
ITUB4,26.33,2.59,9.65,1.57,0.12,64.58,21.58,13.68,6.11,5.67,,,1.32,,-0.13,,16.27,1.29,,0.08,0.92,0.09,2.26,4.35,937607761.56,16.78,2.73,0.23,239648460673.77
JALL3,9.50,3.09,8.60,2.11,0.74,61.97,59.78,24.29,3.49,4.61,1.11,0.67,2.09,2.55,-1.42,2.58,24.51,8.64,23.87,0.35,0.65,0.36,,,9279860.59,4.51,1.10,0.19,2799622364.50
JBSS3,38.48,7.84,4.22,1.81,0.42,18.87,9.20,5.84,2.68,4.79,2.11,1.42,0.25,3.58,-0.70,1.40,42.86,9.89,18.25,0.23,0.77,1.69,15.53,144.69,445088952.34,21.29,9.13,0.01,86379975957.60
JFEN3,1.15,,-0.64,-0.19,0.10,-1431.73,-4728.29,-4450.37,-0.60,-3.45,-2.85,,28.50,-0.74,-0.63,0.86,-28.96,-15.75,379.34,-0.54,1.54,0.00,-55.23,,329024.13,-6.20,-1.80,-0.05,120984387.25
JHSF3,6.18,5.57,4.23,0.93,0.50,69.44,55.47,49.99,3.81,4.80,0.99,0.24,2.11,3.54,-0.67,2.42,22.07,11.93,16.85,0.54,0.46,0.24,39.13,,35853929.75,6.63,1.46,0.08,4240866501.54
JOPA3,25.50,3.36,8.78,0.37,0.12,19.84,4.18,1.54,3.22,9.64,6.40,0.74,0.13,0.32,-0.42,2.21,4.25,1.40,3.43,0.33,0.67,0.91,11.31,0.03,17862.40,68.43,2.91,-2.57,271229569.50
JOPA4,36.00,2.62,12.39,0.53,0.17,19.84,4.18,1.54,4.55,9.64,6.40,0.74,0.19,0.45,-0.59,2.21,4.25,1.40,3.43,0.33,0.67,0.91,11.31,0.03,3600.00,68.43,2.91,-3.64,271229569.50
JSLG3,7.13,3.34,7.54,1.54,0.29,15.38,12.20,6.30,3.90,9.61,5.71,2.25,0.48,1.42,-0.46,2.19,20.36,3.80,8.98,0.19,0.81,0.60,-8.01,,4240340.66,4.64,0.95,0.15,2042253586.14
KEPL3,50.72,6.38,9.82,3.29,1.49,27.03,16.71,12.61,7.42,7.07,-0.34,-0.15,1.24,11.79,-3.84,1.26,33.50,15.18,29.17,0.45,0.55,1.20,20.87,,16085258.50,15.41,5.16,0.08,1519234165.60
KLBN11,22.79,3.11,8.48,3.61,0.61,45.77,33.41,18.32,4.65,8.45,3.80,2.95,1.55,3.08,-0.91,2.49,42.62,7.18,12.34,0.17,0.83,0.39,18.37,4.00,155404851.78,6.31,2.69,-0.04,25606355181.85
KLBN3,5.26,2.70,9.79,4.17,0.70,45.77,33.41,18.32,5.37,8.45,3.80,2.95,1.79,3.55,-1.05,2.49,42.62,7.18,12.34,0.17,0.83,0.39,18.37,4.00,788854.59,1.26,0.54,-0.04,25606355181.85
KLBN4,4.39,3.23,8.17,3.48,0.59,45.77,33.41,18.32,4.48,8.45,3.80,2.95,1.50,2.96,-0.88,2.49,42.62,7.18,12.34,0.17,0.83,0.39,18.37,4.00,3186200.41,1.26,0.54,-0.04,25606355181.85
KRSA3,3.30,,-39.95,1.92,0.65,25.57,10.53,-5.05,19.17,28.88,9.72,0.97,2.02,8.61,-0.87,1.42,-4.81,-1.62,2.49,0.34,0.66,0.32,,,2904961.19,1.72,-0.08,0.08,2545602642.00
LAME3,6.60,,21.15,1.91,0.28,32.90,4.35,2.27,11.03,16.86,5.87,1.01,0.48,1.20,-0.66,1.72,9.02,1.34,2.89,0.15,0.63,0.59,3.50,18.61,19173026.13,3.46,0.31,-46.97,12391135396.59
LAME4,6.57,,21.06,1.90,0.28,32.90,4.35,2.27,10.98,16.86,5.87,1.01,0.48,1.19,-0.65,1.72,9.02,1.34,2.89,0.15,0.63,0.59,3.50,18.61,120311988.67,3.46,0.31,-46.75,12391135396.59
LAND3,26.50,,67.06,3.66,2.53,93.15,72.19,36.47,33.88,34.53,0.65,0.07,24.46,276.36,-2.79,1.11,5.46,3.77,6.86,0.69,0.31,0.10,,,995509.16,7.23,0.40,18.78,2550014493.00
LAVV3,5.07,13.41,5.94,0.84,0.60,41.64,28.98,29.17,5.98,3.35,-2.63,-0.37,1.73,1.35,-1.73,3.17,14.22,10.15,12.75,0.71,0.29,0.35,,,5650257.16,6.00,0.85,0.07,1055529647.64
LCAM3,25.18,1.84,12.77,2.60,0.69,40.95,29.05,15.40,6.77,10.63,3.86,1.48,1.97,31.87,-0.89,1.11,20.37,5.42,9.83,0.27,0.73,0.35,53.89,103.27,68842261.09,9.68,1.97,0.08,12809806568.98
LEVE3,23.97,3.85,5.43,1.80,1.05,27.50,19.99,15.68,4.26,4.13,-0.12,-0.05,0.85,4.06,-2.30,1.90,33.13,19.27,29.02,0.58,0.42,1.23,11.02,87.20,8659419.97,13.33,4.42,0.02,3075554745.00
LHER3,0.00,,0.00,0.00,0.00,63.41,22.35,10.99,0.00,-3.77,-3.77,-0.15,0.00,0.00,0.00,6.36,1.95,0.67,3.94,0.34,0.66,0.06,4.31,-51.59,,141.54,2.76,0.00,0.00
LHER4,0.00,,0.00,0.00,0.00,63.41,22.35,10.99,0.00,-3.77,-3.77,-0.15,0.00,0.00,0.00,6.36,1.95,0.67,3.94,0.34,0.66,0.06,4.31,-51.59,,141.54,2.76,0.00,0.00
LIGT3,9.77,4.51,9.15,0.42,0.13,16.25,7.67,2.67,3.18,9.78,6.59,0.86,0.24,1.38,-0.19,1.39,4.56,1.41,2.81,0.31,0.69,0.53,9.08,,27362786.88,23.44,1.07,-0.22,3639865515.48
LINX3,37.40,1.51,-90.95,4.38,2.74,68.70,-4.79,-8.67,-164.48,-159.30,5.18,-0.14,7.88,11.96,-4.82,2.14,-4.81,-3.02,-2.23,0.63,0.37,0.35,14.30,,105252650.44,8.55,-0.41,0.13,7083895104.00
LIPR3,70.49,0.45,37.62,3.90,3.30,,,,40.03,36.32,-3.71,-0.36,,15.30,-4.93,2.89,10.37,8.78,9.71,0.85,0.15,0.00,,-9.09,31378.20,18.08,1.87,-0.73,829307025.61
LJQQ3,9.06,1.56,24.87,3.13,0.63,39.04,8.06,3.35,10.35,9.90,-0.45,-0.14,0.83,2.44,-1.95,1.62,12.60,2.53,17.29,0.20,0.80,0.76,,,35176974.84,2.89,0.36,46.76,1696849837.14
LLIS3,1.89,,-0.16,-0.25,0.09,52.20,-77.35,-91.83,-0.19,-2.68,-2.49,,0.15,5.77,-0.13,1.05,-152.41,-52.86,-59.06,-0.35,1.35,0.58,-4.90,,719625.94,-7.66,-11.68,0.00,130128066.81
LOGG3,26.05,3.33,7.21,0.80,0.52,98.55,276.97,247.01,6.43,9.00,2.56,0.32,17.82,10.09,-0.61,1.52,11.04,7.15,8.17,0.65,0.35,0.03,9.07,59.58,12734818.66,32.70,3.61,0.04,2661245961.70
LOGN3,28.94,,31.42,6.73,1.26,20.75,17.65,6.98,12.42,16.02,3.60,1.95,2.19,6.45,-2.08,1.97,21.41,4.00,12.56,0.19,0.81,0.57,11.96,0.71,16767210.25,4.30,0.92,0.05,3063042938.88
LPSB3,4.66,,15.70,3.61,1.60,82.43,19.75,19.67,15.64,13.09,-2.55,-0.59,3.09,9.92,-2.52,1.79,23.00,10.16,19.45,0.44,0.56,0.52,8.40,,5910007.88,1.29,0.30,-0.02,687604580.46
LREN3,26.74,2.01,41.76,2.70,1.23,58.39,7.70,5.99,32.48,29.44,-3.05,-0.25,2.50,4.38,-3.56,1.76,6.46,2.96,6.08,0.46,0.54,0.49,10.38,0.26,400025991.00,9.92,0.64,-0.99,26439971290.46
LTEL3B,86.61,6.41,9.61,6.03,6.01,,,,9.63,9.63,0.00,0.00,,4011.19,-6.04,1.48,62.72,62.52,62.62,1.00,0.00,0.00,,-5.93,,14.36,9.01,0.02,18664056853.83
LUPA3,4.91,,-3.47,0.99,0.29,26.98,-52.42,-44.19,-2.92,-5.16,-2.24,0.76,1.53,0.98,-0.53,2.71,-28.50,-8.22,-18.14,0.29,0.71,0.19,-7.55,,5448755.91,4.97,-1.42,0.01,143426795.60
LUXM3,0.00,,0.00,0.00,0.00,31.59,18.05,10.96,0.00,10.41,0.10,0.03,0.00,0.00,0.00,0.96,14.75,9.21,13.85,0.62,0.38,0.84,7.08,9.86,,18.77,2.77,0.00,244098540.00
LUXM4,84.23,1.91,30.42,4.49,2.80,31.59,18.05,10.96,18.47,10.41,0.10,0.03,3.33,-346.80,-3.48,0.96,14.75,9.21,13.85,0.62,0.38,0.84,7.08,9.86,119426.88,18.77,2.77,0.43,244098540.00
LVTC3,14.84,,13.24,1.52,0.64,27.65,12.61,6.79,7.13,6.85,-0.29,-0.06,0.90,3.21,-1.60,1.51,11.51,4.86,17.90,0.42,0.58,0.71,,,4718193.56,9.73,1.12,5.01,959599854.92
