TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV LIQ / PATRI,PSR,P/CAP GIRO,P AT CIR LIQ,LIQ CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
CTSA3,1.93,,7.92,0.70,0.32,15.79,8.32,4.51,4.30,7.48,3.18,0.52,0.36,11.13,-0.54,1.08,8.89,4.04,8.85,0.45,0.55,0.89,9.79,,128494.88,2.74,0.24,-0.01,214807320.90
CTSA4,1.18,,4.85,0.43,0.20,15.79,8.32,4.51,2.63,7.48,3.18,0.52,0.22,6.81,-0.33,1.08,8.89,4.04,8.85,0.45,0.55,0.89,9.79,,96633.00,2.74,0.24,-0.01,214807320.90
CTSA8,0.00,,0.00,0.00,0.00,15.79,8.32,4.51,0.00,7.48,3.18,0.52,0.00,0.00,0.00,1.08,8.89,4.04,8.85,0.45,0.55,0.89,9.79,,,2.74,0.24,0.00,214807320.90
CURY3,7.51,7.53,7.31,2.97,0.84,37.09,21.65,17.24,5.82,5.03,-0.80,-0.41,1.26,2.89,-3.03,1.68,40.60,11.54,30.10,0.28,0.72,0.67,,,7319979.38,2.53,1.03,0.00,2191981910.88
CVCB3,14.36,,-6.78,8.61,0.65,100.00,-53.72,-57.68,-7.28,-7.29,-0.01,0.01,3.91,-8.57,-1.64,0.89,-126.93,-9.61,-36.79,0.08,0.92,0.17,-4.94,,199616209.16,1.67,-2.12,0.11,3230063857.24
CXSE3,7.93,3.08,12.55,2.25,2.23,,,,10.88,10.72,-0.17,-0.03,,27.15,-2.46,10.21,17.96,17.80,17.86,0.99,0.01,0.00,,11.72,15859254.88,3.52,0.63,1.75,23790000000.00
CYRE3,15.30,7.11,6.69,0.90,0.44,34.77,22.19,19.09,5.75,6.82,1.07,0.17,1.28,1.13,-1.04,3.11,13.44,6.61,9.33,0.49,0.51,0.35,8.44,43.29,141485650.69,17.02,2.29,-0.14,6116064824.70
DASA3,22.77,1.32,-56.34,1.69,0.55,29.92,0.85,-2.17,144.21,189.77,45.56,0.53,1.23,-155.41,-0.78,0.99,-3.00,-0.97,-0.45,0.32,0.68,0.45,27.93,,10590537.88,13.47,-0.40,-1.12,12764367071.28
DESK3,14.73,,49.80,1.44,0.59,56.91,19.70,7.39,18.68,22.33,3.65,0.28,3.68,5.11,-0.79,1.85,2.89,1.19,4.09,0.41,0.59,0.16,,,6475975.25,10.22,0.30,-12.87,1284160118.49
DEXP3,7.51,3.73,3.68,1.33,0.55,20.82,14.32,10.81,2.78,3.76,0.99,0.47,0.40,1.67,-1.59,1.98,36.22,14.81,28.29,0.41,0.59,1.37,32.29,29.54,3412839.19,5.63,2.04,0.06,702982591.20
